UnitNumber|UnitType|UnitPlan|Sqft|Floor
10103|STD|STD-S&C|450|1
10203|STD|STD-S&C|450|2
10303|STD|STD-S&C|450|3
10403|STD|STD-S&C|450|4
10503|STD|STD-S&C|450|5
10603|STD|STD-S&C|450|6
10703|STD|STD-S&C|450|7
10803|STD|STD-S&C|450|8
10903|STD|STD-S&C|450|9
11003|STD|STD-S&C|450|10
20103|STD|STD-S&C|450|1
20203|STD|STD-S&C|450|2
20303|STD|STD-S&C|450|3
20403|STD|STD-S&C|450|4
20503|STD|STD-S&C|450|5
20603|STD|STD-S&C|450|6
20703|STD|STD-S&C|450|7
20803|STD|STD-S&C|450|8
20903|STD|STD-S&C|450|9
21003|STD|STD-S&C|450|10
30103|STD|STD-S&C|450|1
30203|STD|STD-S&C|450|2
30303|STD|STD-S&C|450|3
30403|STD|STD-S&C|450|4
30503|STD|STD-S&C|450|5
30603|STD|STD-S&C|450|6
30703|STD|STD-S&C|450|7
30803|STD|STD-S&C|450|8
30903|STD|STD-S&C|450|9
31003|STD|STD-S&C|450|10
40103|STD|STD-S&C|450|1
40203|STD|STD-S&C|450|2
40303|STD|STD-S&C|450|3
40403|STD|STD-S&C|450|4
40503|STD|STD-S&C|450|5
40603|STD|STD-S&C|450|6
40703|STD|STD-S&C|450|7
40803|STD|STD-S&C|450|8
40903|STD|STD-S&C|450|9
41003|STD|STD-S&C|450|10
50103|STD|STD-S&C|450|1
50203|STD|STD-S&C|450|2
50303|STD|STD-S&C|450|3
50403|STD|STD-S&C|450|4
50503|STD|STD-S&C|450|5
50603|STD|STD-S&C|450|6
50703|STD|STD-S&C|450|7
50803|STD|STD-S&C|450|8
50903|STD|STD-S&C|450|9
51003|STD|STD-S&C|450|10
60103|STD|STD-S&C|450|1
60203|STD|STD-S&C|450|2
60303|STD|STD-S&C|450|3
60403|STD|STD-S&C|450|4
60503|STD|STD-S&C|450|5
60603|STD|STD-S&C|450|6
60703|STD|STD-S&C|450|7
60803|STD|STD-S&C|450|8
60903|STD|STD-S&C|450|9
61003|STD|STD-S&C|450|10
70103|STD|STD-S&C|450|1
70203|STD|STD-S&C|450|2
70303|STD|STD-S&C|450|3
70403|STD|STD-S&C|450|4
70503|STD|STD-S&C|450|5
70603|STD|STD-S&C|450|6
70703|STD|STD-S&C|450|7
70803|STD|STD-S&C|450|8
70903|STD|STD-S&C|450|9
71003|STD|STD-S&C|450|10
80103|STD|STD-S&C|450|1
80203|STD|STD-S&C|450|2
80303|STD|STD-S&C|450|3
80403|STD|STD-S&C|450|4
80503|STD|STD-S&C|450|5
80603|STD|STD-S&C|450|6
80703|STD|STD-S&C|450|7
80803|STD|STD-S&C|450|8
80903|STD|STD-S&C|450|9
81003|STD|STD-S&C|450|10
90103|STD|STD-S&C|450|1
90203|STD|STD-S&C|450|2
90303|STD|STD-S&C|450|3
90403|STD|STD-S&C|450|4
90503|STD|STD-S&C|450|5
90603|STD|STD-S&C|450|6
90703|STD|STD-S&C|450|7
90803|STD|STD-S&C|450|8
90903|STD|STD-S&C|450|9
91003|STD|STD-S&C|450|10
100103|STD|STD-S&C|450|1
100203|STD|STD-S&C|450|2
100303|STD|STD-S&C|450|3
100403|STD|STD-S&C|450|4
100503|STD|STD-S&C|450|5
100603|STD|STD-S&C|450|6
100703|STD|STD-S&C|450|7
100803|STD|STD-S&C|450|8
100903|STD|STD-S&C|450|9
101003|STD|STD-S&C|450|10
10104|STD|STD-M&A|650|1
10204|STD|STD-M&A|650|2
10304|STD|STD-M&A|650|3
10404|STD|STD-M&A|650|4
10504|STD|STD-M&A|650|5
10604|STD|STD-M&A|650|6
10704|STD|STD-M&A|650|7
10804|STD|STD-M&A|650|8
10904|STD|STD-M&A|650|9
11004|STD|STD-M&A|650|10
20104|STD|STD-M&A|650|1
20204|STD|STD-M&A|650|2
20304|STD|STD-M&A|650|3
20404|STD|STD-M&A|650|4
20504|STD|STD-M&A|650|5
20604|STD|STD-M&A|650|6
20704|STD|STD-M&A|650|7
20804|STD|STD-M&A|650|8
20904|STD|STD-M&A|650|9
21004|STD|STD-M&A|650|10
30104|STD|STD-M&A|650|1
30204|STD|STD-M&A|650|2
30304|STD|STD-M&A|650|3
30404|STD|STD-M&A|650|4
30504|STD|STD-M&A|650|5
30604|STD|STD-M&A|650|6
30704|STD|STD-M&A|650|7
30804|STD|STD-M&A|650|8
30904|STD|STD-M&A|650|9
31004|STD|STD-M&A|650|10
40104|STD|STD-M&A|650|1
40204|STD|STD-M&A|650|2
40304|STD|STD-M&A|650|3
40404|STD|STD-M&A|650|4
40504|STD|STD-M&A|650|5
40604|STD|STD-M&A|650|6
40704|STD|STD-M&A|650|7
40804|STD|STD-M&A|650|8
40904|STD|STD-M&A|650|9
41004|STD|STD-M&A|650|10
50104|STD|STD-M&A|650|1
50204|STD|STD-M&A|650|2
50304|STD|STD-M&A|650|3
50404|STD|STD-M&A|650|4
50504|STD|STD-M&A|650|5
50604|STD|STD-M&A|650|6
50704|STD|STD-M&A|650|7
50804|STD|STD-M&A|650|8
50904|STD|STD-M&A|650|9
51004|STD|STD-M&A|650|10
60104|STD|STD-M&A|650|1
60204|STD|STD-M&A|650|2
60304|STD|STD-M&A|650|3
60404|STD|STD-M&A|650|4
60504|STD|STD-M&A|650|5
60604|STD|STD-M&A|650|6
60704|STD|STD-M&A|650|7
60804|STD|STD-M&A|650|8
60904|STD|STD-M&A|650|9
61004|STD|STD-M&A|650|10
70104|STD|STD-M&A|650|1
70204|STD|STD-M&A|650|2
70304|STD|STD-M&A|650|3
70404|STD|STD-M&A|650|4
70504|STD|STD-M&A|650|5
70604|STD|STD-M&A|650|6
70704|STD|STD-M&A|650|7
70804|STD|STD-M&A|650|8
70904|STD|STD-M&A|650|9
71004|STD|STD-M&A|650|10
80104|STD|STD-M&A|650|1
80204|STD|STD-M&A|650|2
80304|STD|STD-M&A|650|3
80404|STD|STD-M&A|650|4
80504|STD|STD-M&A|650|5
80604|STD|STD-M&A|650|6
80704|STD|STD-M&A|650|7
80804|STD|STD-M&A|650|8
80904|STD|STD-M&A|650|9
81004|STD|STD-M&A|650|10
90104|STD|STD-M&A|650|1
90204|STD|STD-M&A|650|2
90304|STD|STD-M&A|650|3
90404|STD|STD-M&A|650|4
90504|STD|STD-M&A|650|5
90604|STD|STD-M&A|650|6
90704|STD|STD-M&A|650|7
90804|STD|STD-M&A|650|8
90904|STD|STD-M&A|650|9
91004|STD|STD-M&A|650|10
100104|STD|STD-M&A|650|1
100204|STD|STD-M&A|650|2
100304|STD|STD-M&A|650|3
100404|STD|STD-M&A|650|4
100504|STD|STD-M&A|650|5
100604|STD|STD-M&A|650|6
100704|STD|STD-M&A|650|7
100804|STD|STD-M&A|650|8
100904|STD|STD-M&A|650|9
101004|STD|STD-M&A|650|10
10105|STD|STD-M&B|650|1
10205|STD|STD-M&B|650|2
10305|STD|STD-M&B|650|3
10405|STD|STD-M&B|650|4
10505|STD|STD-M&B|650|5
10605|STD|STD-M&B|650|6
10705|STD|STD-M&B|650|7
10805|STD|STD-M&B|650|8
10905|STD|STD-M&B|650|9
11005|STD|STD-M&B|650|10
20105|STD|STD-M&B|650|1
20205|STD|STD-M&B|650|2
20305|STD|STD-M&B|650|3
20405|STD|STD-M&B|650|4
20505|STD|STD-M&B|650|5
20605|STD|STD-M&B|650|6
20705|STD|STD-M&B|650|7
20805|STD|STD-M&B|650|8
20905|STD|STD-M&B|650|9
21005|STD|STD-M&B|650|10
30105|STD|STD-M&B|650|1
30205|STD|STD-M&B|650|2
30305|STD|STD-M&B|650|3
30405|STD|STD-M&B|650|4
30505|STD|STD-M&B|650|5
30605|STD|STD-M&B|650|6
30705|STD|STD-M&B|650|7
30805|STD|STD-M&B|650|8
30905|STD|STD-M&B|650|9
31005|STD|STD-M&B|650|10
40105|STD|STD-M&B|650|1
40205|STD|STD-M&B|650|2
40305|STD|STD-M&B|650|3
40405|STD|STD-M&B|650|4
40505|STD|STD-M&B|650|5
40605|STD|STD-M&B|650|6
40705|STD|STD-M&B|650|7
40805|STD|STD-M&B|650|8
40905|STD|STD-M&B|650|9
41005|STD|STD-M&B|650|10
50105|STD|STD-M&B|650|1
50205|STD|STD-M&B|650|2
50305|STD|STD-M&B|650|3
50405|STD|STD-M&B|650|4
50505|STD|STD-M&B|650|5
50605|STD|STD-M&B|650|6
50705|STD|STD-M&B|650|7
50805|STD|STD-M&B|650|8
50905|STD|STD-M&B|650|9
51005|STD|STD-M&B|650|10
60105|STD|STD-M&B|650|1
60205|STD|STD-M&B|650|2
60305|STD|STD-M&B|650|3
60405|STD|STD-M&B|650|4
60505|STD|STD-M&B|650|5
60605|STD|STD-M&B|650|6
60705|STD|STD-M&B|650|7
60805|STD|STD-M&B|650|8
60905|STD|STD-M&B|650|9
61005|STD|STD-M&B|650|10
70105|STD|STD-M&B|650|1
70205|STD|STD-M&B|650|2
70305|STD|STD-M&B|650|3
70405|STD|STD-M&B|650|4
70505|STD|STD-M&B|650|5
70605|STD|STD-M&B|650|6
70705|STD|STD-M&B|650|7
70805|STD|STD-M&B|650|8
70905|STD|STD-M&B|650|9
71005|STD|STD-M&B|650|10
80105|STD|STD-M&B|650|1
80205|STD|STD-M&B|650|2
80305|STD|STD-M&B|650|3
80405|STD|STD-M&B|650|4
80505|STD|STD-M&B|650|5
80605|STD|STD-M&B|650|6
80705|STD|STD-M&B|650|7
80805|STD|STD-M&B|650|8
80905|STD|STD-M&B|650|9
81005|STD|STD-M&B|650|10
90105|STD|STD-M&B|650|1
90205|STD|STD-M&B|650|2
90305|STD|STD-M&B|650|3
90405|STD|STD-M&B|650|4
90505|STD|STD-M&B|650|5
90605|STD|STD-M&B|650|6
90705|STD|STD-M&B|650|7
90805|STD|STD-M&B|650|8
90905|STD|STD-M&B|650|9
91005|STD|STD-M&B|650|10
100105|STD|STD-M&B|650|1
100205|STD|STD-M&B|650|2
100305|STD|STD-M&B|650|3
100405|STD|STD-M&B|650|4
100505|STD|STD-M&B|650|5
100605|STD|STD-M&B|650|6
100705|STD|STD-M&B|650|7
100805|STD|STD-M&B|650|8
100905|STD|STD-M&B|650|9
101005|STD|STD-M&B|650|10
10106|STD|STD-L|850|1
10206|STD|STD-L|850|2
10306|STD|STD-L|850|3
10406|STD|STD-L|850|4
10506|STD|STD-L|850|5
10606|STD|STD-L|850|6
10706|STD|STD-L|850|7
10806|STD|STD-L|850|8
10906|STD|STD-L|850|9
11006|STD|STD-L|850|10
20106|STD|STD-L|850|1
20206|STD|STD-L|850|2
20306|STD|STD-L|850|3
20406|STD|STD-L|850|4
20506|STD|STD-L|850|5
20606|STD|STD-L|850|6
20706|STD|STD-L|850|7
20806|STD|STD-L|850|8
20906|STD|STD-L|850|9
21006|STD|STD-L|850|10
30106|STD|STD-L|850|1
30206|STD|STD-L|850|2
30306|STD|STD-L|850|3
30406|STD|STD-L|850|4
30506|STD|STD-L|850|5
30606|STD|STD-L|850|6
30706|STD|STD-L|850|7
30806|STD|STD-L|850|8
30906|STD|STD-L|850|9
31006|STD|STD-L|850|10
40106|STD|STD-L|850|1
40206|STD|STD-L|850|2
40306|STD|STD-L|850|3
40406|STD|STD-L|850|4
40506|STD|STD-L|850|5
40606|STD|STD-L|850|6
40706|STD|STD-L|850|7
40806|STD|STD-L|850|8
40906|STD|STD-L|850|9
41006|STD|STD-L|850|10
50106|STD|STD-L|850|1
50206|STD|STD-L|850|2
50306|STD|STD-L|850|3
50406|STD|STD-L|850|4
50506|STD|STD-L|850|5
50606|STD|STD-L|850|6
50706|STD|STD-L|850|7
50806|STD|STD-L|850|8
50906|STD|STD-L|850|9
51006|STD|STD-L|850|10
60106|STD|STD-L|850|1
60206|STD|STD-L|850|2
60306|STD|STD-L|850|3
60406|STD|STD-L|850|4
60506|STD|STD-L|850|5
60606|STD|STD-L|850|6
60706|STD|STD-L|850|7
60806|STD|STD-L|850|8
60906|STD|STD-L|850|9
61006|STD|STD-L|850|10
70106|STD|STD-L|850|1
70206|STD|STD-L|850|2
70306|STD|STD-L|850|3
70406|STD|STD-L|850|4
70506|STD|STD-L|850|5
70606|STD|STD-L|850|6
70706|STD|STD-L|850|7
70806|STD|STD-L|850|8
70906|STD|STD-L|850|9
71006|STD|STD-L|850|10
80106|STD|STD-L|850|1
80206|STD|STD-L|850|2
80306|STD|STD-L|850|3
80406|STD|STD-L|850|4
80506|STD|STD-L|850|5
80606|STD|STD-L|850|6
80706|STD|STD-L|850|7
80806|STD|STD-L|850|8
80906|STD|STD-L|850|9
81006|STD|STD-L|850|10
90106|STD|STD-L|850|1
90206|STD|STD-L|850|2
90306|STD|STD-L|850|3
90406|STD|STD-L|850|4
90506|STD|STD-L|850|5
90606|STD|STD-L|850|6
90706|STD|STD-L|850|7
90806|STD|STD-L|850|8
90906|STD|STD-L|850|9
91006|STD|STD-L|850|10
100106|STD|STD-L|850|1
100206|STD|STD-L|850|2
100306|STD|STD-L|850|3
100406|STD|STD-L|850|4
100506|STD|STD-L|850|5
100606|STD|STD-L|850|6
100706|STD|STD-L|850|7
100806|STD|STD-L|850|8
100906|STD|STD-L|850|9
101006|STD|STD-L|850|10
10107|1BR|1BR-S&A|750|1
10207|1BR|1BR-S&A|750|2
10307|1BR|1BR-S&A|750|3
10407|1BR|1BR-S&A|750|4
10507|1BR|1BR-S&A|750|5
10607|1BR|1BR-S&A|750|6
10707|1BR|1BR-S&A|750|7
10807|1BR|1BR-S&A|750|8
10907|1BR|1BR-S&A|750|9
11007|1BR|1BR-S&A|750|10
20107|1BR|1BR-S&A|750|1
20207|1BR|1BR-S&A|750|2
20307|1BR|1BR-S&A|750|3
20407|1BR|1BR-S&A|750|4
20507|1BR|1BR-S&A|750|5
20607|1BR|1BR-S&A|750|6
20707|1BR|1BR-S&A|750|7
20807|1BR|1BR-S&A|750|8
20907|1BR|1BR-S&A|750|9
21007|1BR|1BR-S&A|750|10
30107|1BR|1BR-S&A|750|1
30207|1BR|1BR-S&A|750|2
30307|1BR|1BR-S&A|750|3
30407|1BR|1BR-S&A|750|4
30507|1BR|1BR-S&A|750|5
30607|1BR|1BR-S&A|750|6
30707|1BR|1BR-S&A|750|7
30807|1BR|1BR-S&A|750|8
30907|1BR|1BR-S&A|750|9
31007|1BR|1BR-S&A|750|10
40107|1BR|1BR-S&A|750|1
40207|1BR|1BR-S&A|750|2
40307|1BR|1BR-S&A|750|3
40407|1BR|1BR-S&A|750|4
40507|1BR|1BR-S&A|750|5
40607|1BR|1BR-S&A|750|6
40707|1BR|1BR-S&A|750|7
40807|1BR|1BR-S&A|750|8
40907|1BR|1BR-S&A|750|9
41007|1BR|1BR-S&A|750|10
50107|1BR|1BR-S&A|750|1
50207|1BR|1BR-S&A|750|2
50307|1BR|1BR-S&A|750|3
50407|1BR|1BR-S&A|750|4
50507|1BR|1BR-S&A|750|5
50607|1BR|1BR-S&A|750|6
50707|1BR|1BR-S&A|750|7
50807|1BR|1BR-S&A|750|8
50907|1BR|1BR-S&A|750|9
51007|1BR|1BR-S&A|750|10
60107|1BR|1BR-S&A|750|1
60207|1BR|1BR-S&A|750|2
60307|1BR|1BR-S&A|750|3
60407|1BR|1BR-S&A|750|4
60507|1BR|1BR-S&A|750|5
60607|1BR|1BR-S&A|750|6
60707|1BR|1BR-S&A|750|7
60807|1BR|1BR-S&A|750|8
60907|1BR|1BR-S&A|750|9
61007|1BR|1BR-S&A|750|10
70107|1BR|1BR-S&A|750|1
70207|1BR|1BR-S&A|750|2
70307|1BR|1BR-S&A|750|3
70407|1BR|1BR-S&A|750|4
70507|1BR|1BR-S&A|750|5
70607|1BR|1BR-S&A|750|6
70707|1BR|1BR-S&A|750|7
70807|1BR|1BR-S&A|750|8
70907|1BR|1BR-S&A|750|9
71007|1BR|1BR-S&A|750|10
80107|1BR|1BR-S&A|750|1
80207|1BR|1BR-S&A|750|2
80307|1BR|1BR-S&A|750|3
80407|1BR|1BR-S&A|750|4
80507|1BR|1BR-S&A|750|5
80607|1BR|1BR-S&A|750|6
80707|1BR|1BR-S&A|750|7
80807|1BR|1BR-S&A|750|8
80907|1BR|1BR-S&A|750|9
81007|1BR|1BR-S&A|750|10
90107|1BR|1BR-S&A|750|1
90207|1BR|1BR-S&A|750|2
90307|1BR|1BR-S&A|750|3
90407|1BR|1BR-S&A|750|4
90507|1BR|1BR-S&A|750|5
90607|1BR|1BR-S&A|750|6
90707|1BR|1BR-S&A|750|7
90807|1BR|1BR-S&A|750|8
90907|1BR|1BR-S&A|750|9
91007|1BR|1BR-S&A|750|10
100107|1BR|1BR-S&A|750|1
100207|1BR|1BR-S&A|750|2
100307|1BR|1BR-S&A|750|3
100407|1BR|1BR-S&A|750|4
100507|1BR|1BR-S&A|750|5
100607|1BR|1BR-S&A|750|6
100707|1BR|1BR-S&A|750|7
100807|1BR|1BR-S&A|750|8
100907|1BR|1BR-S&A|750|9
101007|1BR|1BR-S&A|750|10
10108|1BR|1BR-S&B|750|1
10208|1BR|1BR-S&B|750|2
10308|1BR|1BR-S&B|750|3
10408|1BR|1BR-S&B|750|4
10508|1BR|1BR-S&B|750|5
10608|1BR|1BR-S&B|750|6
10708|1BR|1BR-S&B|750|7
10808|1BR|1BR-S&B|750|8
10908|1BR|1BR-S&B|750|9
11008|1BR|1BR-S&B|750|10
20108|1BR|1BR-S&B|750|1
20208|1BR|1BR-S&B|750|2
20308|1BR|1BR-S&B|750|3
20408|1BR|1BR-S&B|750|4
20508|1BR|1BR-S&B|750|5
20608|1BR|1BR-S&B|750|6
20708|1BR|1BR-S&B|750|7
20808|1BR|1BR-S&B|750|8
20908|1BR|1BR-S&B|750|9
21008|1BR|1BR-S&B|750|10
30108|1BR|1BR-S&B|750|1
30208|1BR|1BR-S&B|750|2
30308|1BR|1BR-S&B|750|3
30408|1BR|1BR-S&B|750|4
30508|1BR|1BR-S&B|750|5
30608|1BR|1BR-S&B|750|6
30708|1BR|1BR-S&B|750|7
30808|1BR|1BR-S&B|750|8
30908|1BR|1BR-S&B|750|9
31008|1BR|1BR-S&B|750|10
40108|1BR|1BR-S&B|750|1
40208|1BR|1BR-S&B|750|2
40308|1BR|1BR-S&B|750|3
40408|1BR|1BR-S&B|750|4
40508|1BR|1BR-S&B|750|5
40608|1BR|1BR-S&B|750|6
40708|1BR|1BR-S&B|750|7
40808|1BR|1BR-S&B|750|8
40908|1BR|1BR-S&B|750|9
41008|1BR|1BR-S&B|750|10
50108|1BR|1BR-S&B|750|1
50208|1BR|1BR-S&B|750|2
50308|1BR|1BR-S&B|750|3
50408|1BR|1BR-S&B|750|4
50508|1BR|1BR-S&B|750|5
50608|1BR|1BR-S&B|750|6
50708|1BR|1BR-S&B|750|7
50808|1BR|1BR-S&B|750|8
50908|1BR|1BR-S&B|750|9
51008|1BR|1BR-S&B|750|10
60108|1BR|1BR-S&B|750|1
60208|1BR|1BR-S&B|750|2
60308|1BR|1BR-S&B|750|3
60408|1BR|1BR-S&B|750|4
60508|1BR|1BR-S&B|750|5
60608|1BR|1BR-S&B|750|6
60708|1BR|1BR-S&B|750|7
60808|1BR|1BR-S&B|750|8
60908|1BR|1BR-S&B|750|9
61008|1BR|1BR-S&B|750|10
70108|1BR|1BR-S&B|750|1
70208|1BR|1BR-S&B|750|2
70308|1BR|1BR-S&B|750|3
70408|1BR|1BR-S&B|750|4
70508|1BR|1BR-S&B|750|5
70608|1BR|1BR-S&B|750|6
70708|1BR|1BR-S&B|750|7
70808|1BR|1BR-S&B|750|8
70908|1BR|1BR-S&B|750|9
71008|1BR|1BR-S&B|750|10
80108|1BR|1BR-S&B|750|1
80208|1BR|1BR-S&B|750|2
80308|1BR|1BR-S&B|750|3
80408|1BR|1BR-S&B|750|4
80508|1BR|1BR-S&B|750|5
80608|1BR|1BR-S&B|750|6
80708|1BR|1BR-S&B|750|7
80808|1BR|1BR-S&B|750|8
80908|1BR|1BR-S&B|750|9
81008|1BR|1BR-S&B|750|10
90108|1BR|1BR-S&B|750|1
90208|1BR|1BR-S&B|750|2
90308|1BR|1BR-S&B|750|3
90408|1BR|1BR-S&B|750|4
90508|1BR|1BR-S&B|750|5
90608|1BR|1BR-S&B|750|6
90708|1BR|1BR-S&B|750|7
90808|1BR|1BR-S&B|750|8
90908|1BR|1BR-S&B|750|9
91008|1BR|1BR-S&B|750|10
100108|1BR|1BR-S&B|750|1
100208|1BR|1BR-S&B|750|2
100308|1BR|1BR-S&B|750|3
100408|1BR|1BR-S&B|750|4
100508|1BR|1BR-S&B|750|5
100608|1BR|1BR-S&B|750|6
100708|1BR|1BR-S&B|750|7
100808|1BR|1BR-S&B|750|8
100908|1BR|1BR-S&B|750|9
101008|1BR|1BR-S&B|750|10
10109|1BR|1BR-L&A|1050|1
10209|1BR|1BR-L&A|1050|2
10309|1BR|1BR-L&A|1050|3
10409|1BR|1BR-L&A|1050|4
10509|1BR|1BR-L&A|1050|5
10609|1BR|1BR-L&A|1050|6
10709|1BR|1BR-L&A|1050|7
