LeaseNo|CustomerNo|UnitNumber|StartDate|EndDate
12690|3690|81003|3/11/2009|3/11/2012
12691|3691|90103|4/29/2010|4/29/2012
12692|3692|90303|9/5/2011|9/5/2012
12693|3693|90403|5/8/2011|5/8/2012
12694|3694|90503|8/22/2010|8/22/2012
12695|3695|90603|9/29/2011|9/29/2012
12696|3696|90703|5/19/2010|5/19/2012
12697|3697|90803|11/1/2009|11/1/2012
12698|3698|90903|11/21/2010|11/21/2012
12699|3699|91003|7/17/2011|7/17/2012
12700|3700|100103|2/13/2010|2/13/2012
12701|3701|100303|11/12/2011|11/12/2012
12702|3702|100403|12/30/2010|12/30/2011
12703|3703|100503|3/29/2009|3/29/2012
12704|3704|100603|8/1/2011|8/1/2012
12705|3705|100703|6/21/2010|6/21/2012
12706|3706|100803|6/3/2010|6/3/2012
12707|3707|100903|7/6/2009|7/6/2012
12708|3708|101003|5/26/2010|5/26/2012
12709|3709|10104|10/17/2011|10/17/2012
12710|3710|10204|4/26/2009|4/26/2012
12711|3711|10304|6/3/2010|6/3/2012
12712|3712|10404|1/2/2011|1/2/2012
12713|3713|10504|1/9/2010|1/9/2012
12714|3714|10604|2/10/2011|2/10/2012
12715|3715|10704|3/12/2010|3/12/2012
12716|3716|10804|7/16/2009|7/16/2012
12717|3717|10904|4/30/2009|4/30/2012
12718|3718|11004|5/20/2010|5/20/2012
12719|3719|20104|4/2/2009|4/2/2012
12720|3720|20204|4/10/2010|4/10/2012
12721|3721|20304|2/7/2010|2/7/2012
12722|3722|20504|5/6/2010|5/6/2012
12723|3723|20604|5/4/2011|5/4/2012
12724|3724|20804|8/27/2011|8/27/2012
12725|3725|20904|7/4/2009|7/4/2012
12726|3726|30104|5/9/2011|5/9/2012
12727|3727|30204|9/1/2009|9/1/2012
12728|3728|30404|3/20/2009|3/20/2012
12729|3729|30504|12/9/2010|12/9/2011
12730|3730|30604|8/18/2011|8/18/2012
12731|3731|30704|3/9/2010|3/9/2012
12732|3732|30804|5/4/2010|5/4/2012
12733|3733|30904|10/17/2010|10/17/2012
12734|3734|31004|11/16/2011|11/16/2012
12735|3735|40104|3/18/2011|3/18/2012
12736|3736|40204|6/21/2011|6/21/2012
12737|3737|40304|10/18/2010|10/18/2012
12738|3738|40404|8/12/2009|8/12/2012
12739|3739|40604|4/25/2010|4/25/2012
12740|3740|40704|8/1/2009|8/1/2012
12741|3741|40804|10/29/2009|10/29/2012
12742|3742|40904|4/13/2009|4/13/2012
12743|3743|41004|12/3/2010|12/3/2011
12744|3744|50204|10/30/2011|10/30/2012
12745|3745|50304|4/3/2011|4/3/2012
12746|3746|50404|4/14/2011|4/14/2012
12747|3747|50504|7/31/2009|7/31/2012
12748|3748|50604|1/21/2011|1/21/2012
12749|3749|50704|12/11/2010|12/11/2011
12750|3750|50804|10/17/2009|10/17/2012
12751|3751|50904|7/28/2010|7/28/2012
12752|3752|51004|3/29/2009|3/29/2012
12753|3753|60104|9/16/2011|9/16/2012
12754|3754|60204|5/24/2011|5/24/2012
12755|3755|60304|11/18/2010|11/18/2012
12756|3756|60404|10/26/2011|10/26/2012
12757|3757|60504|8/12/2009|8/12/2012
12758|3758|60604|2/13/2010|2/13/2012
12759|3759|60704|9/10/2011|9/10/2012
12760|3760|60804|5/26/2011|5/26/2012
12761|3761|61004|8/24/2010|8/24/2012
12762|3762|70104|6/10/2010|6/10/2012
12763|3763|70204|3/12/2011|3/12/2012
12764|3764|70304|6/16/2011|6/16/2012
12765|3765|70404|1/24/2010|1/24/2012
12766|3766|70504|5/12/2009|5/12/2012
12767|3767|70604|1/1/2011|1/1/2012
12768|3768|70704|5/13/2009|5/13/2012
12769|3769|70804|8/22/2009|8/22/2012
12770|3770|70904|6/6/2009|6/6/2012
12771|3771|71004|6/28/2009|6/28/2012
12772|3772|80104|8/3/2009|8/3/2012
12773|3773|80204|6/26/2009|6/26/2012
12774|3774|80304|8/4/2009|8/4/2012
12775|3775|80404|5/20/2009|5/20/2012
12776|3776|80504|5/16/2011|5/16/2012
12777|3777|80604|10/2/2009|10/2/2012
12778|3778|80704|11/2/2011|11/2/2012
12779|3779|80804|8/16/2009|8/16/2012
12780|3780|80904|9/29/2009|9/29/2012
12781|3781|81004|3/9/2010|3/9/2012
12782|3782|90104|5/21/2011|5/21/2012
12783|3783|90204|12/4/2009|12/4/2011
12784|3784|90304|10/11/2009|10/11/2012
12785|3785|90404|5/9/2009|5/9/2012
12786|3786|90504|7/8/2011|7/8/2012
12787|3787|90604|12/26/2010|12/26/2011
12788|3788|90704|7/5/2010|7/5/2012
12789|3789|90804|9/21/2010|9/21/2012
12790|3790|90904|8/20/2010|8/20/2012
12791|3791|91004|10/11/2009|10/11/2012
12792|3792|100104|1/4/2010|1/4/2012
12793|3793|100204|1/4/2010|1/4/2012
12794|3794|100304|2/28/2011|2/29/2012
12795|3795|100404|3/16/2009|3/16/2012
12796|3796|100504|6/23/2010|6/23/2012
12797|3797|100604|9/21/2011|9/21/2012
12798|3798|100704|2/14/2011|2/14/2012
12799|3799|100804|5/13/2009|5/13/2012
12800|3800|100904|5/2/2010|5/2/2012
12801|3801|101004|9/26/2009|9/26/2012
12802|3802|10105|11/11/2010|11/11/2012
12803|3803|10305|3/21/2011|3/21/2012
12804|3804|10405|9/10/2010|9/10/2012
12805|3805|10605|5/23/2011|5/23/2012
12806|3806|10705|7/29/2011|7/29/2012
12807|3807|10805|9/30/2009|9/30/2012
12808|3808|10905|1/14/2011|1/14/2012
12809|3809|11005|3/1/2010|3/1/2012
12810|3810|20105|8/8/2011|8/8/2012
12811|3811|20205|3/19/2009|3/19/2012
12812|3812|20305|5/5/2011|5/5/2012
12813|3813|20405|11/9/2011|11/9/2012
12814|3814|20505|8/17/2009|8/17/2012
12815|3815|20705|3/15/2011|3/15/2012
12816|3816|20805|7/3/2009|7/3/2012
12817|3817|20905|7/30/2011|7/30/2012
12818|3818|21005|3/28/2010|3/28/2012
12819|3819|30105|7/13/2010|7/13/2012
12820|3820|30205|1/11/2011|1/11/2012
12821|3821|30305|6/21/2011|6/21/2012
12822|3822|30405|2/20/2011|2/20/2012
12823|3823|30505|3/25/2009|3/25/2012
12824|3824|30605|8/7/2011|8/7/2012
12825|3825|30705|4/20/2009|4/20/2012
12826|3826|30805|9/30/2011|9/30/2012
12827|3827|30905|3/27/2011|3/27/2012
12828|3828|40105|9/21/2009|9/21/2012
12829|3829|40205|8/15/2010|8/15/2012
12830|3830|40305|7/3/2011|7/3/2012
12831|3831|40405|8/10/2011|8/10/2012
12832|3832|40505|4/18/2009|4/18/2012
12833|3833|40805|9/18/2009|9/18/2012
12834|3834|40905|12/25/2009|12/25/2011
12835|3835|41005|4/3/2009|4/3/2012
12836|3836|50105|9/21/2010|9/21/2012
12837|3837|50205|1/3/2011|1/3/2012
12838|3838|50305|7/9/2010|7/9/2012
12839|3839|50405|10/11/2011|10/11/2012
12840|3840|50505|3/23/2009|3/23/2012
12841|3841|50605|7/4/2010|7/4/2012
12842|3842|50705|9/7/2011|9/7/2012
12843|3843|50805|2/28/2010|2/29/2012
12844|3844|51005|9/15/2010|9/15/2012
12845|3845|60105|9/27/2009|9/27/2012
12846|3846|60205|6/3/2011|6/3/2012
12847|3847|60305|6/7/2009|6/7/2012
12848|3848|60405|5/21/2011|5/21/2012
12849|3849|60505|8/4/2009|8/4/2012
12850|3850|60605|6/9/2009|6/9/2012
12851|3851|60805|3/11/2011|3/11/2012
12852|3852|60905|10/10/2010|10/10/2012
12853|3853|61005|10/3/2011|10/3/2012
12854|3854|70105|12/13/2010|12/13/2011
12855|3855|70205|2/26/2010|2/26/2012
12856|3856|70305|7/24/2009|7/24/2012
12857|3857|70405|4/13/2009|4/13/2012
12858|3858|70505|11/23/2009|11/23/2012
12859|3859|70605|10/2/2010|10/2/2012
12860|3860|70705|11/2/2009|11/2/2012
12861|3861|70805|5/3/2011|5/3/2012
12862|3862|70905|3/21/2010|3/21/2012
12863|3863|71005|4/7/2010|4/7/2012
12864|3864|80105|2/28/2011|2/28/2012
12865|3865|80205|7/25/2011|7/25/2012
12866|3866|80305|3/15/2010|3/15/2012
12867|3867|80405|9/18/2011|9/18/2012
12868|3868|80505|3/7/2010|3/7/2012
12869|3869|80605|10/12/2010|10/12/2012
12870|3870|80705|10/26/2009|10/26/2012
12871|3871|80805|11/14/2009|11/14/2012
12872|3872|80905|5/3/2010|5/3/2012
12873|3873|81005|9/30/2009|9/30/2012
12874|3874|90105|4/20/2009|4/20/2012
12875|3875|90205|9/1/2009|9/1/2012
12876|3876|90305|11/1/2011|11/1/2012
12877|3877|90405|11/21/2009|11/21/2012
12878|3878|90505|2/10/2010|2/10/2012
12879|3879|90605|11/3/2010|11/3/2012
12880|3880|90705|10/24/2010|10/24/2012
12881|3881|90805|3/6/2010|3/6/2012
12882|3882|90905|12/10/2010|12/10/2011
12883|3883|91005|10/8/2009|10/8/2012
12884|3884|100105|10/15/2010|10/15/2012
12885|3885|100205|2/11/2011|2/11/2012
12886|3886|100305|2/28/2010|2/29/2012
12887|3887|100405|6/12/2010|6/12/2012
12888|3888|100505|7/26/2009|7/26/2012
12889|3889|100605|1/24/2011|1/24/2012
12890|3890|100705|7/12/2010|7/12/2012
12891|3891|100805|9/8/2011|9/8/2012
12892|3892|100905|6/20/2010|6/20/2012
12893|3893|101005|9/15/2009|9/15/2012
12894|3894|10106|11/24/2010|11/24/2012
12895|3895|10206|7/3/2011|7/3/2012
12896|3896|10406|11/16/2010|11/16/2012
12897|3897|10606|10/26/2009|10/26/2012
12898|3898|10706|9/3/2009|9/3/2012
12899|3899|10806|9/13/2009|9/13/2012
12900|3900|10906|9/15/2010|9/15/2012
12901|3901|11006|11/29/2010|11/29/2012
12902|3902|20106|9/16/2010|9/16/2012
12903|3903|20206|10/11/2009|10/11/2012
12904|3904|20306|12/23/2010|12/23/2011
12905|3905|20406|6/18/2011|6/18/2012
12906|3906|20506|1/6/2010|1/6/2012
12907|3907|20606|12/12/2009|12/12/2011
12908|3908|20706|9/13/2010|9/13/2012
12909|3909|20806|6/10/2010|6/10/2012
12910|3910|20906|5/21/2010|5/21/2012
12911|3911|21006|9/21/2010|9/21/2012
12912|3912|30106|4/24/2009|4/24/2012
12913|3913|30206|11/14/2011|11/14/2012
12914|3914|30306|3/25/2010|3/25/2012
12915|3915|30406|5/25/2009|5/25/2012
12916|3916|30506|1/1/2010|1/1/2012
12917|3917|30706|7/23/2011|7/23/2012
12918|3918|30806|12/9/2009|12/9/2011
12919|3919|30906|5/24/2009|5/24/2012
12920|3920|31006|6/15/2009|6/15/2012
12921|3921|40106|4/9/2011|4/9/2012
12922|3922|40206|6/10/2009|6/10/2012
12923|3923|40306|5/1/2011|5/1/2012
12924|3924|40406|1/10/2010|1/10/2012
12925|3925|40606|5/14/2011|5/14/2012
12926|3926|40706|11/11/2010|11/11/2012
12927|3927|40806|12/21/2010|12/21/2011
12928|3928|40906|7/14/2010|7/14/2012
12929|3929|41006|10/29/2011|10/29/2012
12930|3930|50106|9/27/2009|9/27/2012
12931|3931|50206|3/4/2010|3/4/2012
12932|3932|50306|4/19/2010|4/19/2012
12933|3933|50406|6/18/2010|6/18/2012
12934|3934|50506|8/19/2010|8/19/2012
12935|3935|50606|9/18/2010|9/18/2012
12936|3936|50706|3/22/2010|3/22/2012
12937|3937|50806|10/14/2010|10/14/2012
12938|3938|50906|9/17/2011|9/17/2012
12939|3939|51006|12/2/2009|12/2/2011
12940|3940|60106|1/23/2010|1/23/2012
12941|3941|60206|4/17/2009|4/17/2012
12942|3942|60306|3/28/2009|3/28/2012
12943|3943|60406|6/17/2010|6/17/2012
12944|3944|60506|9/6/2009|9/6/2012
12945|3945|60606|8/18/2009|8/18/2012
12946|3946|60706|2/11/2010|2/11/2012
12947|3947|60806|4/7/2009|4/7/2012
12948|3948|60906|5/15/2009|5/15/2012
12949|3949|61006|10/4/2010|10/4/2012
12950|3950|70106|1/14/2011|1/14/2012
12951|3951|70206|7/15/2011|7/15/2012
12952|3952|70306|6/17/2009|6/17/2012
12953|3953|70406|1/11/2011|1/11/2012
12954|3954|70506|1/1/2010|1/1/2012
12955|3955|70606|5/4/2009|5/4/2012
12956|3956|70706|10/2/2011|10/2/2012
12957|3957|70806|11/16/2010|11/16/2012
12958|3958|70906|4/30/2011|4/30/2012
12959|3959|71006|4/17/2011|4/17/2012
12960|3960|80206|5/9/2010|5/9/2012
12961|3961|80306|4/20/2011|4/20/2012
12962|3962|80506|3/9/2009|3/9/2012
12963|3963|80706|12/13/2010|12/13/2011
12964|3964|80806|6/6/2011|6/6/2012
12965|3965|80906|9/30/2009|9/30/2012
12966|3966|81006|2/28/2010|2/29/2012
12967|3967|90106|8/19/2009|8/19/2012
12968|3968|90206|9/12/2009|9/12/2012
12969|3969|90306|2/7/2010|2/7/2012
12970|3970|90406|3/3/2010|3/3/2012
12971|3971|90506|12/19/2009|12/19/2011
12972|3972|90606|12/2/2010|12/2/2011
12973|3973|90706|4/7/2010|4/7/2012
12974|3974|90806|4/18/2009|4/18/2012
12975|3975|90906|4/15/2009|4/15/2012
12976|3976|91006|6/14/2010|6/14/2012
12977|3977|100106|7/23/2011|7/23/2012
12978|3978|100206|6/17/2011|6/17/2012
12979|3979|100306|4/24/2009|4/24/2012
12980|3980|100406|8/3/2009|8/3/2012
12981|3981|100506|6/13/2009|6/13/2012
12982|3982|100606|12/2/2009|12/2/2011
12983|3983|100806|9/14/2010|9/14/2012
12984|3984|100906|10/9/2011|10/9/2012
12985|3985|101006|7/10/2009|7/10/2012
12986|3986|10107|8/5/2009|8/5/2012
12987|3987|10207|7/10/2011|7/10/2012
12988|3988|10307|6/28/2010|6/28/2012
12989|3989|10407|5/20/2010|5/20/2012
12990|3990|10507|10/17/2010|10/17/2012
12991|3991|10607|11/10/2009|11/10/2012
12992|3992|10707|9/23/2011|9/23/2012
12993|3993|10807|3/30/2011|3/30/2012
12994|3994|10907|8/27/2011|8/27/2012
12995|3995|11007|4/20/2011|4/20/2012
12996|3996|20107|8/4/2011|8/4/2012
12997|3997|20207|6/21/2009|6/21/2012
12998|3998|20307|7/12/2011|7/12/2012
12999|3999|20407|8/9/2010|8/9/2012
13000|4000|20607|6/10/2009|6/10/2012
13001|4001|20707|10/14/2011|10/14/2012
13002|4002|20807|2/7/2011|2/7/2012
13003|4003|20907|9/4/2009|9/4/2012
13004|4004|21007|3/24/2010|3/24/2012
13005|4005|30107|9/30/2011|9/30/2012
13006|4006|30207|1/25/2011|1/25/2012
13007|4007|30307|9/3/2010|9/3/2012
13008|4008|30407|7/4/2010|7/4/2012
13009|4009|30507|3/15/2010|3/15/2012
13010|4010|30607|4/21/2010|4/21/2012
13011|4011|30707|5/3/2011|5/3/2012
13012|4012|30807|4/2/2011|4/2/2012
13013|4013|30907|9/5/2010|9/5/2012
13014|4014|31007|8/17/2011|8/17/2012
13015|4015|40107|3/21/2011|3/21/2012
13016|4016|40207|7/23/2009|7/23/2012
13017|4017|40307|9/29/2011|9/29/2012
13018|4018|40407|8/3/2010|8/3/2012
13019|4019|40507|3/16/2010|3/16/2012
13020|4020|40607|6/27/2010|6/27/2012
13021|4021|40707|3/26/2009|3/26/2012
13022|4022|40807|5/9/2011|5/9/2012
13023|4023|40907|9/13/2011|9/13/2012
13024|4024|41007|2/4/2010|2/4/2012
13025|4025|50107|3/11/2011|3/11/2012
13026|4026|50207|8/21/2010|8/21/2012
13027|4027|50307|1/13/2010|1/13/2012
13028|4028|50407|2/6/2011|2/6/2012
13029|4029|50507|3/14/2011|3/14/2012
13030|4030|50607|3/19/2009|3/19/2012
13031|4031|50707|4/12/2009|4/12/2012
13032|4032|50807|11/8/2009|11/8/2012
13033|4033|50907|1/26/2011|1/26/2012
13034|4034|51007|5/12/2009|5/12/2012
13035|4035|60107|9/13/2010|9/13/2012
13036|4036|60207|10/10/2009|10/10/2012
13037|4037|60307|9/24/2011|9/24/2012
13038|4038|60407|9/25/2011|9/25/2012
13039|4039|60507|6/4/2011|6/4/2012
13040|4040|60607|3/19/2011|3/19/2012
