UnitPlan|StartDate|EndDate|RentRate
STD-S&C|5/1/2012|5/31/2012|1517
STD-M&A|5/1/2012|5/31/2012|1868
STD-M&B|5/1/2012|5/31/2012|1868
STD-L|5/1/2012|5/31/2012|2081
1BR-S&A|5/1/2012|5/31/2012|1801
1BR-S&B|5/1/2012|5/31/2012|1801
1BR-L&A|5/1/2012|5/31/2012|1983
1BR-L&B|5/1/2012|5/31/2012|1983
2BR-S|5/1/2012|5/31/2012|1902
STD-S&A|6/1/2012|6/30/2012|1491
STD-S&B|6/1/2012|6/30/2012|1491
STD-S&C|6/1/2012|6/30/2012|1491
STD-M&A|6/1/2012|6/30/2012|1836
STD-M&B|6/1/2012|6/30/2012|1836
STD-L|6/1/2012|6/30/2012|2045
1BR-S&A|6/1/2012|6/30/2012|1838
1BR-S&B|6/1/2012|6/30/2012|1838
1BR-L&A|6/1/2012|6/30/2012|2024
1BR-L&B|6/1/2012|6/30/2012|2024
2BR-S|6/1/2012|6/30/2012|1943
STD-S&A|7/1/2012|7/31/2012|1482
STD-S&B|7/1/2012|7/31/2012|1482
STD-S&C|7/1/2012|7/31/2012|1482
STD-M&A|7/1/2012|7/31/2012|1825
STD-M&B|7/1/2012|7/31/2012|1825
STD-L|7/1/2012|7/31/2012|2033
1BR-S&A|7/1/2012|7/31/2012|1831
1BR-S&B|7/1/2012|7/31/2012|1831
1BR-L&A|7/1/2012|7/31/2012|2017
1BR-L&B|7/1/2012|7/31/2012|2017
2BR-S|7/1/2012|7/31/2012|2101
STD-S&A|8/1/2012|8/31/2012|1449
STD-S&B|8/1/2012|8/31/2012|1449
STD-S&C|8/1/2012|8/31/2012|1449
STD-M&A|8/1/2012|8/31/2012|1783
STD-M&B|8/1/2012|8/31/2012|1783
STD-L|8/1/2012|8/31/2012|1987
1BR-S&A|8/1/2012|8/31/2012|1854
1BR-S&B|8/1/2012|8/31/2012|1854
1BR-L&A|8/1/2012|8/31/2012|2041
1BR-L&B|8/1/2012|8/31/2012|2041
2BR-S|8/1/2012|8/31/2012|2094
STD-S&A|9/1/2012|9/30/2012|1465
STD-S&B|9/1/2012|9/30/2012|1465
STD-S&C|9/1/2012|9/30/2012|1465
STD-M&A|9/1/2012|9/30/2012|1803
STD-M&B|9/1/2012|9/30/2012|1803
STD-L|9/1/2012|9/30/2012|2009
1BR-S&A|9/1/2012|9/30/2012|1851
1BR-S&B|9/1/2012|9/30/2012|1851
1BR-L&A|9/1/2012|9/30/2012|2038
1BR-L&B|9/1/2012|9/30/2012|2038
2BR-S|9/1/2012|9/30/2012|2250
STD-S&A|10/1/2012|10/31/2012|1433
STD-S&B|10/1/2012|10/31/2012|1433
STD-S&C|10/1/2012|10/31/2012|1433
STD-M&A|10/1/2012|10/31/2012|1764
STD-M&B|10/1/2012|10/31/2012|1764
STD-L|10/1/2012|10/31/2012|1965
1BR-S&A|10/1/2012|10/31/2012|1784
1BR-S&B|10/1/2012|10/31/2012|1784
1BR-L&A|10/1/2012|10/31/2012|1965
1BR-L&B|10/1/2012|10/31/2012|1965
2BR-S|10/1/2012|10/31/2012|2009
STD-S&A|11/1/2012|11/30/2012|1383
STD-S&B|11/1/2012|11/30/2012|1383
STD-S&C|11/1/2012|11/30/2012|1383
STD-M&A|11/1/2012|11/30/2012|1702
STD-M&B|11/1/2012|11/30/2012|1702
STD-L|11/1/2012|11/30/2012|1897
1BR-S&A|11/1/2012|11/30/2012|1790
1BR-S&B|11/1/2012|11/30/2012|1790
1BR-L&A|11/1/2012|11/30/2012|1971
1BR-L&B|11/1/2012|11/30/2012|1971
2BR-S|11/1/2012|11/30/2012|2000
STD-S&A|12/1/2012|12/31/2012|1404
STD-S&B|12/1/2012|12/31/2012|1404
STD-S&C|12/1/2012|12/31/2012|1404
STD-M&A|12/1/2012|12/31/2012|1728
STD-M&B|12/1/2012|12/31/2012|1728
STD-L|12/1/2012|12/31/2012|1926
1BR-S&A|12/1/2012|12/31/2012|1834
1BR-S&B|12/1/2012|12/31/2012|1834
1BR-L&A|12/1/2012|12/31/2012|2020
1BR-L&B|12/1/2012|12/31/2012|2020
2BR-S|12/1/2012|12/31/2012|2026
STD-S&A|1/1/2013|1/31/2013|1383
STD-S&B|1/1/2013|1/31/2013|1383
STD-S&C|1/1/2013|1/31/2013|1383
STD-M&A|1/1/2013|1/31/2013|1703
STD-M&B|1/1/2013|1/31/2013|1703
STD-L|1/1/2013|1/31/2013|1898
1BR-S&A|1/1/2013|1/31/2013|1860
1BR-S&B|1/1/2013|1/31/2013|1860
1BR-L&A|1/1/2013|1/31/2013|2048
1BR-L&B|1/1/2013|1/31/2013|2048
2BR-S|1/1/2013|1/31/2013|2027
STD-S&A|2/1/2013|2/28/2013|1396
STD-S&B|2/1/2013|2/28/2013|1396
STD-S&C|2/1/2013|2/28/2013|1396
STD-M&A|2/1/2013|2/28/2013|1718
STD-M&B|2/1/2013|2/28/2013|1718
STD-L|2/1/2013|2/28/2013|1915
1BR-S&A|2/1/2013|2/28/2013|1923
1BR-S&B|2/1/2013|2/28/2013|1923
1BR-L&A|2/1/2013|2/28/2013|2118
1BR-L&B|2/1/2013|2/28/2013|2118
2BR-S|2/1/2013|2/28/2013|2004
STD-S&A|3/1/2013|3/31/2013|1395
STD-S&B|3/1/2013|3/31/2013|1395
STD-S&C|3/1/2013|3/31/2013|1395
STD-M&A|3/1/2013|3/31/2013|1718
STD-M&B|3/1/2013|3/31/2013|1718
STD-L|3/1/2013|3/31/2013|1914
1BR-S&A|3/1/2013|3/31/2013|1955
1BR-S&B|3/1/2013|3/31/2013|1955
1BR-L&A|3/1/2013|3/31/2013|2153
1BR-L&B|3/1/2013|3/31/2013|2153
2BR-S|3/1/2013|3/31/2013|2164
STD-S&A|4/1/2013|4/30/2013|1426
STD-S&B|4/1/2013|4/30/2013|1426
STD-S&C|4/1/2013|4/30/2013|1426
STD-M&A|4/1/2013|4/30/2013|1755
STD-M&B|4/1/2013|4/30/2013|1755
STD-L|4/1/2013|4/30/2013|1955
1BR-S&A|4/1/2013|4/30/2013|1963
1BR-S&B|4/1/2013|4/30/2013|1963
1BR-L&A|4/1/2013|4/30/2013|2162
1BR-L&B|4/1/2013|4/30/2013|2162
2BR-S|4/1/2013|4/30/2013|2036
STD-S&A|5/1/2013|5/31/2013|1444
STD-S&B|5/1/2013|5/31/2013|1444
STD-S&C|5/1/2013|5/31/2013|1444
STD-M&A|5/1/2013|5/31/2013|1778
STD-M&B|5/1/2013|5/31/2013|1778
STD-L|5/1/2013|5/31/2013|1981
1BR-S&A|5/1/2013|5/31/2013|1969
1BR-S&B|5/1/2013|5/31/2013|1969
1BR-L&A|5/1/2013|5/31/2013|2169
1BR-L&B|5/1/2013|5/31/2013|2169
2BR-S|5/1/2013|5/31/2013|1988
STD-S&A|6/1/2013|6/30/2013|1456
STD-S&B|6/1/2013|6/30/2013|1456
STD-S&C|6/1/2013|6/30/2013|1456
STD-M&A|6/1/2013|6/30/2013|1792
STD-M&B|6/1/2013|6/30/2013|1792
STD-L|6/1/2013|6/30/2013|1997
1BR-S&A|6/1/2013|6/30/2013|1978
1BR-S&B|6/1/2013|6/30/2013|1978
1BR-L&A|6/1/2013|6/30/2013|2179
1BR-L&B|6/1/2013|6/30/2013|2179
2BR-S|6/1/2013|6/30/2013|2168
STD-S&A|7/1/2013|7/31/2013|1444
STD-S&B|7/1/2013|7/31/2013|1444
STD-S&C|7/1/2013|7/31/2013|1444
STD-M&A|7/1/2013|7/31/2013|1778
STD-M&B|7/1/2013|7/31/2013|1778
STD-L|7/1/2013|7/31/2013|1981
1BR-S&A|7/1/2013|7/31/2013|1979
1BR-S&B|7/1/2013|7/31/2013|1979
1BR-L&A|7/1/2013|7/31/2013|2180
1BR-L&B|7/1/2013|7/31/2013|2180
2BR-S|7/1/2013|7/31/2013|2031
STD-S&A|8/1/2013|8/31/2013|1440
STD-S&B|8/1/2013|8/31/2013|1440
STD-S&C|8/1/2013|8/31/2013|1440
STD-M&A|8/1/2013|8/31/2013|1772
STD-M&B|8/1/2013|8/31/2013|1772
STD-L|8/1/2013|8/31/2013|1975
1BR-S&A|8/1/2013|8/31/2013|2058
1BR-S&B|8/1/2013|8/31/2013|2058
1BR-L&A|8/1/2013|8/31/2013|2267
1BR-L&B|8/1/2013|8/31/2013|2267
2BR-S|8/1/2013|8/31/2013|1929
STD-S&A|9/1/2013|9/30/2013|1454
STD-S&B|9/1/2013|9/30/2013|1454
STD-S&C|9/1/2013|9/30/2013|1454
STD-M&A|9/1/2013|9/30/2013|1789
STD-M&B|9/1/2013|9/30/2013|1789
STD-L|9/1/2013|9/30/2013|1994
1BR-S&A|9/1/2013|9/30/2013|1981
1BR-S&B|9/1/2013|9/30/2013|1981
1BR-L&A|9/1/2013|9/30/2013|2182
1BR-L&B|9/1/2013|9/30/2013|2182
2BR-S|9/1/2013|9/30/2013|1729
STD-S&A|10/1/2013|10/31/2013|1420
STD-S&B|10/1/2013|10/31/2013|1420
STD-S&C|10/1/2013|10/31/2013|1420
STD-M&A|10/1/2013|10/31/2013|1748
STD-M&B|10/1/2013|10/31/2013|1748
STD-L|10/1/2013|10/31/2013|1948
1BR-S&A|10/1/2013|10/31/2013|1923
1BR-S&B|10/1/2013|10/31/2013|1923
1BR-L&A|10/1/2013|10/31/2013|2118
1BR-L&B|10/1/2013|10/31/2013|2118
2BR-S|10/1/2013|10/31/2013|1750
STD-S&A|11/1/2013|11/30/2013|1396
STD-S&B|11/1/2013|11/30/2013|1396
STD-S&C|11/1/2013|11/30/2013|1396
STD-M&A|11/1/2013|11/30/2013|1718
STD-M&B|11/1/2013|11/30/2013|1718
STD-L|11/1/2013|11/30/2013|1915
1BR-S&A|11/1/2013|11/30/2013|1970
1BR-S&B|11/1/2013|11/30/2013|1970
1BR-L&A|11/1/2013|11/30/2013|2170
1BR-L&B|11/1/2013|11/30/2013|2170
2BR-S|11/1/2013|11/30/2013|1711
STD-S&A|12/1/2013|12/31/2013|1385
STD-S&B|12/1/2013|12/31/2013|1385
STD-S&C|12/1/2013|12/31/2013|1385
STD-M&A|12/1/2013|12/31/2013|1705
STD-M&B|12/1/2013|12/31/2013|1705
STD-L|12/1/2013|12/31/2013|1901
1BR-S&A|12/1/2013|12/31/2013|1975
1BR-S&B|12/1/2013|12/31/2013|1975
1BR-L&A|12/1/2013|12/31/2013|2175
1BR-L&B|12/1/2013|12/31/2013|2175
2BR-S|12/1/2013|12/31/2013|1676
STD-S&A|1/1/2014|1/31/2014|1393
STD-S&B|1/1/2014|1/31/2014|1393
STD-S&C|1/1/2014|1/31/2014|1393
STD-M&A|1/1/2014|1/31/2014|1715
STD-M&B|1/1/2014|1/31/2014|1715
STD-L|1/1/2014|1/31/2014|1911
1BR-S&A|1/1/2014|1/31/2014|1939
1BR-S&B|1/1/2014|1/31/2014|1939
1BR-L&A|1/1/2014|1/31/2014|2135
1BR-L&B|1/1/2014|1/31/2014|2135
2BR-S|1/1/2014|1/31/2014|1801
STD-S&A|2/1/2014|2/28/2014|1402
STD-S&B|2/1/2014|2/28/2014|1402
STD-S&C|2/1/2014|2/28/2014|1402
STD-M&A|2/1/2014|2/28/2014|1726
STD-M&B|2/1/2014|2/28/2014|1726
STD-L|2/1/2014|2/28/2014|1924
1BR-S&A|2/1/2014|2/28/2014|1909
1BR-S&B|2/1/2014|2/28/2014|1909
1BR-L&A|2/1/2014|2/28/2014|2102
1BR-L&B|2/1/2014|2/28/2014|2102
2BR-S|2/1/2014|2/28/2014|1871
STD-S&A|3/1/2014|3/31/2014|1420
STD-S&B|3/1/2014|3/31/2014|1420
STD-S&C|3/1/2014|3/31/2014|1420
STD-M&A|3/1/2014|3/31/2014|1747
STD-M&B|3/1/2014|3/31/2014|1747
STD-L|3/1/2014|3/31/2014|1947
1BR-S&A|3/1/2014|3/31/2014|1904
1BR-S&B|3/1/2014|3/31/2014|1904
1BR-L&A|3/1/2014|3/31/2014|2096
1BR-L&B|3/1/2014|3/31/2014|2096
2BR-S|3/1/2014|3/31/2014|2043
STD-S&A|4/1/2014|4/30/2014|1439
STD-S&B|4/1/2014|4/30/2014|1439
STD-S&C|4/1/2014|4/30/2014|1439
STD-M&A|4/1/2014|4/30/2014|1771
STD-M&B|4/1/2014|4/30/2014|1771
STD-L|4/1/2014|4/30/2014|1974
1BR-S&A|4/1/2014|4/30/2014|1920
1BR-S&B|4/1/2014|4/30/2014|1920
1BR-L&A|4/1/2014|4/30/2014|2115
1BR-L&B|4/1/2014|4/30/2014|2115
2BR-S|4/1/2014|4/30/2014|2166
STD-S&A|5/1/2014|5/31/2014|1443
STD-S&B|5/1/2014|5/31/2014|1443
STD-S&C|5/1/2014|5/31/2014|1443
STD-M&A|5/1/2014|5/31/2014|1776
STD-M&B|5/1/2014|5/31/2014|1776
STD-L|5/1/2014|5/31/2014|1979
1BR-S&A|5/1/2014|5/31/2014|1983
1BR-S&B|5/1/2014|5/31/2014|1983
1BR-L&A|5/1/2014|5/31/2014|2184
1BR-L&B|5/1/2014|5/31/2014|2184
2BR-S|5/1/2014|5/31/2014|2108
STD-S&A|6/1/2014|6/30/2014|1439
STD-S&B|6/1/2014|6/30/2014|1439
STD-S&C|6/1/2014|6/30/2014|1439
STD-M&A|6/1/2014|6/30/2014|1771
STD-M&B|6/1/2014|6/30/2014|1771
STD-L|6/1/2014|6/30/2014|1974
1BR-S&A|6/1/2014|6/30/2014|1983
1BR-S&B|6/1/2014|6/30/2014|1983
1BR-L&A|6/1/2014|6/30/2014|2184
1BR-L&B|6/1/2014|6/30/2014|2184
2BR-S|6/1/2014|6/30/2014|1989
STD-S&A|7/1/2014|7/31/2014|1503
STD-S&B|7/1/2014|7/31/2014|1503
STD-S&C|7/1/2014|7/31/2014|1503
STD-M&A|7/1/2014|7/31/2014|1850
STD-M&B|7/1/2014|7/31/2014|1850
STD-L|7/1/2014|7/31/2014|2062
1BR-S&A|7/1/2014|7/31/2014|1974
1BR-S&B|7/1/2014|7/31/2014|1974
1BR-L&A|7/1/2014|7/31/2014|2174
1BR-L&B|7/1/2014|7/31/2014|2174
2BR-S|7/1/2014|7/31/2014|1893
STD-S&A|8/1/2014|8/31/2014|1533
STD-S&B|8/1/2014|8/31/2014|1533
STD-S&C|8/1/2014|8/31/2014|1533
STD-M&A|8/1/2014|8/31/2014|1886
STD-M&B|8/1/2014|8/31/2014|1886
STD-L|8/1/2014|8/31/2014|2102
1BR-S&A|8/1/2014|8/31/2014|1968
1BR-S&B|8/1/2014|8/31/2014|1968
1BR-L&A|8/1/2014|8/31/2014|2167
1BR-L&B|8/1/2014|8/31/2014|2167
2BR-S|8/1/2014|8/31/2014|1984
STD-S&A|9/1/2014|9/30/2014|1500
STD-S&B|9/1/2014|9/30/2014|1500
STD-S&C|9/1/2014|9/30/2014|1500
STD-M&A|9/1/2014|9/30/2014|1847
STD-M&B|9/1/2014|9/30/2014|1847
STD-L|9/1/2014|9/30/2014|2058
1BR-S&A|9/1/2014|9/30/2014|1895
1BR-S&B|9/1/2014|9/30/2014|1895
1BR-L&A|9/1/2014|9/30/2014|2087
1BR-L&B|9/1/2014|9/30/2014|2087
2BR-S|9/1/2014|9/30/2014|2005
STD-S&A|10/1/2014|10/31/2014|1472
STD-S&B|10/1/2014|10/31/2014|1472
STD-S&C|10/1/2014|10/31/2014|1472
STD-M&A|10/1/2014|10/31/2014|1813
STD-M&B|10/1/2014|10/31/2014|1813
STD-L|10/1/2014|10/31/2014|2020
1BR-S&A|10/1/2014|10/31/2014|2013
1BR-S&B|10/1/2014|10/31/2014|2013
1BR-L&A|10/1/2014|10/31/2014|2217
1BR-L&B|10/1/2014|10/31/2014|2217
2BR-S|10/1/2014|10/31/2014|2122
STD-S&A|11/1/2014|11/30/2014|1438
STD-S&B|11/1/2014|11/30/2014|1438
STD-S&C|11/1/2014|11/30/2014|1438
STD-M&A|11/1/2014|11/30/2014|1770
STD-M&B|11/1/2014|11/30/2014|1770
STD-L|11/1/2014|11/30/2014|1973
1BR-S&A|11/1/2014|11/30/2014|1957
1BR-S&B|11/1/2014|11/30/2014|1957
1BR-L&A|11/1/2014|11/30/2014|2155
1BR-L&B|11/1/2014|11/30/2014|2155
2BR-S|11/1/2014|11/30/2014|2239
STD-S&A|12/1/2014|12/31/2014|1443
STD-S&B|12/1/2014|12/31/2014|1443
STD-S&C|12/1/2014|12/31/2014|1443
STD-M&A|12/1/2014|12/31/2014|1776
STD-M&B|12/1/2014|12/31/2014|1776
STD-L|12/1/2014|12/31/2014|1980
1BR-S&A|12/1/2014|12/31/2014|1924
1BR-S&B|12/1/2014|12/31/2014|1924
1BR-L&A|12/1/2014|12/31/2014|2119
1BR-L&B|12/1/2014|12/31/2014|2119
2BR-S|12/1/2014|12/31/2014|2107
STD-S&A|1/1/2015|1/31/2015|1425
STD-S&B|1/1/2015|1/31/2015|1425
STD-S&C|1/1/2015|1/31/2015|1425
STD-M&A|1/1/2015|1/31/2015|1754
STD-M&B|1/1/2015|1/31/2015|1754
STD-L|1/1/2015|1/31/2015|1954
1BR-S&A|1/1/2015|1/31/2015|1953
1BR-S&B|1/1/2015|1/31/2015|1953
1BR-L&A|1/1/2015|1/31/2015|2151
1BR-L&B|1/1/2015|1/31/2015|2151
2BR-S|1/1/2015|1/31/2015|1950
STD-S&A|2/1/2015|2/28/2015|1409
STD-S&B|2/1/2015|2/28/2015|1409
STD-S&C|2/1/2015|2/28/2015|1409
STD-M&A|2/1/2015|2/28/2015|1734
STD-M&B|2/1/2015|2/28/2015|1734
STD-L|2/1/2015|2/28/2015|1932
1BR-S&A|2/1/2015|2/28/2015|1923
1BR-S&B|2/1/2015|2/28/2015|1923
1BR-L&A|2/1/2015|2/28/2015|2118
1BR-L&B|2/1/2015|2/28/2015|2118
2BR-S|2/1/2015|2/28/2015|2021
STD-S&A|3/1/2015|3/31/2015|1422
STD-S&B|3/1/2015|3/31/2015|1422
STD-S&C|3/1/2015|3/31/2015|1422
STD-M&A|3/1/2015|3/31/2015|1751
STD-M&B|3/1/2015|3/31/2015|1751
STD-L|3/1/2015|3/31/2015|1951
1BR-S&A|3/1/2015|3/31/2015|1955
1BR-S&B|3/1/2015|3/31/2015|1955
1BR-L&A|3/1/2015|3/31/2015|2153
1BR-L&B|3/1/2015|3/31/2015|2153
2BR-S|3/1/2015|3/31/2015|2035
STD-S&A|4/1/2015|4/30/2015|1453
STD-S&B|4/1/2015|4/30/2015|1453
STD-S&C|4/1/2015|4/30/2015|1453
STD-M&A|4/1/2015|4/30/2015|1788
STD-M&B|4/1/2015|4/30/2015|1788
STD-L|4/1/2015|4/30/2015|1993
1BR-S&A|4/1/2015|4/30/2015|1943
1BR-S&B|4/1/2015|4/30/2015|1943
1BR-L&A|4/1/2015|4/30/2015|2140
1BR-L&B|4/1/2015|4/30/2015|2140
2BR-S|4/1/2015|4/30/2015|2053
STD-S&A|5/1/2015|5/31/2015|1489
STD-S&B|5/1/2015|5/31/2015|1489
STD-S&C|5/1/2015|5/31/2015|1489
STD-M&A|5/1/2015|5/31/2015|1832
STD-M&B|5/1/2015|5/31/2015|1832
STD-L|5/1/2015|5/31/2015|2042
1BR-S&A|5/1/2015|5/31/2015|1958
1BR-S&B|5/1/2015|5/31/2015|1958
1BR-L&A|5/1/2015|5/31/2015|2157
1BR-L&B|5/1/2015|5/31/2015|2157
2BR-S|5/1/2015|5/31/2015|2134
STD-S&A|6/1/2015|6/30/2015|1471
STD-S&B|6/1/2015|6/30/2015|1471
STD-S&C|6/1/2015|6/30/2015|1471
STD-M&A|6/1/2015|6/30/2015|1810
STD-M&B|6/1/2015|6/30/2015|1810
STD-L|6/1/2015|6/30/2015|2017
1BR-S&A|6/1/2015|6/30/2015|1948
1BR-S&B|6/1/2015|6/30/2015|1948
1BR-L&A|6/1/2015|6/30/2015|2145
1BR-L&B|6/1/2015|6/30/2015|2145
2BR-S|6/1/2015|6/30/2015|2437
STD-S&A|7/1/2015|7/31/2015|1442
STD-S&B|7/1/2015|7/31/2015|1442
STD-S&C|7/1/2015|7/31/2015|1442
STD-M&A|7/1/2015|7/31/2015|1775
STD-M&B|7/1/2015|7/31/2015|1775
STD-L|7/1/2015|7/31/2015|1978
1BR-S&A|7/1/2015|7/31/2015|1949
1BR-S&B|7/1/2015|7/31/2015|1949
1BR-L&A|7/1/2015|7/31/2015|2146
1BR-L&B|7/1/2015|7/31/2015|2146
2BR-S|7/1/2015|7/31/2015|2395
STD-S&A|8/1/2015|8/31/2015|1478
STD-S&B|8/1/2015|8/31/2015|1478
STD-S&C|8/1/2015|8/31/2015|1478
STD-M&A|8/1/2015|8/31/2015|1819
STD-M&B|8/1/2015|8/31/2015|1819
STD-L|8/1/2015|8/31/2015|2027
1BR-S&A|8/1/2015|8/31/2015|1921
1BR-S&B|8/1/2015|8/31/2015|1921
1BR-L&A|8/1/2015|8/31/2015|2115
1BR-L&B|8/1/2015|8/31/2015|2115
2BR-S|8/1/2015|8/31/2015|2431
STD-S&A|9/1/2015|9/30/2015|1452
STD-S&B|9/1/2015|9/30/2015|1452
STD-S&C|9/1/2015|9/30/2015|1452
STD-M&A|9/1/2015|9/30/2015|1787
STD-M&B|9/1/2015|9/30/2015|1787
STD-L|9/1/2015|9/30/2015|1992
1BR-S&A|9/1/2015|9/30/2015|1918
1BR-S&B|9/1/2015|9/30/2015|1918
1BR-L&A|9/1/2015|9/30/2015|2112
1BR-L&B|9/1/2015|9/30/2015|2112
2BR-S|9/1/2015|9/30/2015|2332
STD-S&A|10/1/2015|10/31/2015|1459
STD-S&B|10/1/2015|10/31/2015|1459
STD-S&C|10/1/2015|10/31/2015|1459
STD-M&A|10/1/2015|10/31/2015|1795
STD-M&B|10/1/2015|10/31/2015|1795
STD-L|10/1/2015|10/31/2015|2001
1BR-S&A|10/1/2015|10/31/2015|1872
1BR-S&B|10/1/2015|10/31/2015|1872
1BR-L&A|10/1/2015|10/31/2015|2061
1BR-L&B|10/1/2015|10/31/2015|2061
2BR-S|10/1/2015|10/31/2015|2115
STD-S&A|11/1/2015|11/30/2015|1430
STD-S&B|11/1/2015|11/30/2015|1430
STD-S&C|11/1/2015|11/30/2015|1430
STD-M&A|11/1/2015|11/30/2015|1760
STD-M&B|11/1/2015|11/30/2015|1760
STD-L|11/1/2015|11/30/2015|1962
1BR-S&A|11/1/2015|11/30/2015|1842
1BR-S&B|11/1/2015|11/30/2015|1842
1BR-L&A|11/1/2015|11/30/2015|2028
1BR-L&B|11/1/2015|11/30/2015|2028
2BR-S|11/1/2015|11/30/2015|2074
STD-S&A|12/1/2015|12/31/2015|1471
STD-S&B|12/1/2015|12/31/2015|1471
STD-S&C|12/1/2015|12/31/2015|1471
STD-M&A|12/1/2015|12/31/2015|1810
STD-M&B|12/1/2015|12/31/2015|1810
STD-L|12/1/2015|12/31/2015|2017
1BR-S&A|12/1/2015|12/31/2015|1873
1BR-S&B|12/1/2015|12/31/2015|1873
1BR-L&A|12/1/2015|12/31/2015|2063
1BR-L&B|12/1/2015|12/31/2015|2063
2BR-S|12/1/2015|12/31/2015|2037
STD-S&A|1/1/2016|1/31/2016|1453
STD-S&B|1/1/2016|1/31/2016|1453
STD-S&C|1/1/2016|1/31/2016|1453
STD-M&A|1/1/2016|1/31/2016|1789
STD-M&B|1/1/2016|1/31/2016|1789
STD-L|1/1/2016|1/31/2016|1993
1BR-S&A|1/1/2016|1/31/2016|1874
1BR-S&B|1/1/2016|1/31/2016|1874
1BR-L&A|1/1/2016|1/31/2016|2064
1BR-L&B|1/1/2016|1/31/2016|2064
2BR-S|1/1/2016|1/31/2016|2006
STD-S&A|2/1/2016|2/29/2016|1492
STD-S&B|2/1/2016|2/29/2016|1492
STD-S&C|2/1/2016|2/29/2016|1492
STD-M&A|2/1/2016|2/29/2016|1836
STD-M&B|2/1/2016|2/29/2016|1836
STD-L|2/1/2016|2/29/2016|2046
1BR-S&A|2/1/2016|2/29/2016|1937
1BR-S&B|2/1/2016|2/29/2016|1937
1BR-L&A|2/1/2016|2/29/2016|2133
1BR-L&B|2/1/2016|2/29/2016|2133
2BR-S|2/1/2016|2/29/2016|2142
STD-S&A|3/1/2016|3/31/2016|1502
STD-S&B|3/1/2016|3/31/2016|1502
STD-S&C|3/1/2016|3/31/2016|1502
STD-M&A|3/1/2016|3/31/2016|1849
STD-M&B|3/1/2016|3/31/2016|1849
STD-L|3/1/2016|3/31/2016|2060
1BR-S&A|3/1/2016|3/31/2016|1923
1BR-S&B|3/1/2016|3/31/2016|1923
1BR-L&A|3/1/2016|3/31/2016|2118
1BR-L&B|3/1/2016|3/31/2016|2118
2BR-S|3/1/2016|3/31/2016|2092
STD-S&A|4/1/2016|4/30/2016|1500
STD-S&B|4/1/2016|4/30/2016|1500
STD-S&C|4/1/2016|4/30/2016|1500
STD-M&A|4/1/2016|4/30/2016|1846
STD-M&B|4/1/2016|4/30/2016|1846
STD-L|4/1/2016|4/30/2016|2057
1BR-S&A|4/1/2016|4/30/2016|1932
